Id,ClusterId,Description,Type,Language,LastUpdated,PublicationDate,CreatedDate,FirstReported,Publisher,NoDocuments,SourceUrl,SilobreakerUrl
5_2275687176010203138,16_2275686457911803951,2 more local COVID-19 deaths as new cases of virus slow across Florida,News,en,2021-03-14T22:55:50Z,2021-03-14T22:55:50Z,2021-03-14T23:18:11Z,2021-03-14T22:55:50Z,Villages News - RSS,1,https://www.villages-news.com/2021/03/14/2-more-local-covid-19-deaths-as-new-cases-of-virus-slow-across-florida/,https://my.silobreaker.com/5_2275687176010203138
5_2275658650901020675,16_2275658652293529696,13 more local COVID-19 deaths as new cases of virus across Florida slow dramatically,News,en,2021-03-01T23:49:45Z,2021-03-01T23:49:45Z,2021-03-02T00:19:18Z,2021-03-01T23:49:45Z,Villages News - RSS,1,https://www.villages-news.com/2021/03/01/13-more-local-covid-19-deaths-as-new-cases-of-virus-across-florida-slow-dramatically/,https://my.silobreaker.com/5_2275658650901020675
5_2275799315525926912,16_2275798361724420097,"13 more local COVID-19 deaths as Florida adds more than 5,400 new cases of virus",News,en,2021-05-01T22:45:54Z,2021-05-01T22:45:54Z,2021-05-01T22:47:49Z,2021-05-01T22:45:54Z,Villages News - RSS,1,https://www.villages-news.com/2021/05/01/13-more-local-covid-19-deaths-as-florida-adds-more-than-5400-new-cases-of-virus/,https://my.silobreaker.com/5_2275799315525926912
5_2275827768778293309,16_2275827285594472598,"Franklin County Reports 31 New COVID-19 Cases, 2 Deaths",News,en,2021-05-14T20:49:00Z,2021-05-14T20:49:00Z,2021-05-14T20:51:49Z,2021-05-14T20:49:00Z,Sullivan Independent News,1,https://www.mysullivannews.com/covid-19/franklin-county-reports-31-new-covid-19-cases-2-deaths,https://my.silobreaker.com/5_2275827768778293309
5_2275807966143709185,16_2275807934619320335,"Hamilton County Has 2 More Coronavirus Deaths, 77 New Cases; Tennessee Has 11 More Deaths",News,en,2021-05-05T20:38:23Z,2021-05-05T20:38:23Z,2021-05-05T23:36:49Z,2021-05-05T20:38:23Z,Chattanoogan,1,http://www.chattanoogan.com/2021/5/5/427819/Hamilton-County-Has-2-More-Coronavirus.aspx,https://my.silobreaker.com/5_2275807966143709185
5_2275792588701171820,16_2275792074378838120,"Hamilton County Has 57 New COVID Cases, No New Deaths",News,en,2021-04-30T20:53:00Z,2021-04-30T20:53:00Z,2021-04-30T20:56:13Z,2021-04-30T20:53:00Z,Chattanoogan,1,http://www.chattanoogan.com/2021/4/30/427578/Hamilton-County-Has-57-New-COVID-Cases.aspx,https://my.silobreaker.com/5_2275792588701171820
5_2275689157298749727,16_2275688401384505344,"Florida reports one of lowest COVID totals in months, with 2,826 new cases",News,en,2021-03-15T19:45:00Z,2021-03-15T19:45:00Z,2021-03-15T20:10:36Z,2021-03-15T19:45:00Z,star-telegram.com,1,https://www.star-telegram.com/news/nation-world/national/article249957054.html#storylink=rss,https://my.silobreaker.com/5_2275689157298749727
5_2275849759010848829,16_2275847569366056960,"Hamilton County Has 1 More Coronavirus Death, 29 New Cases",News,en,2021-05-24T20:49:00Z,2021-05-24T20:49:00Z,2021-05-24T20:50:32Z,2021-05-24T20:49:00Z,Chattanoogan,1,http://www.chattanoogan.com/2021/5/24/428884/Hamilton-County-Has-1-More-Coronavirus.aspx,https://my.silobreaker.com/5_2275849759010848829
5_2275788985223610557,16_2275787797665153223,"Hamilton County Has No More Coronavirus Deaths, 60 New Cases; State Has 8 More Deaths",News,en,2021-04-29T00:25:00Z,2021-04-29T00:25:00Z,2021-04-29T00:26:54Z,2021-04-29T00:25:00Z,Chattanoogan,1,http://www.chattanoogan.com/2021/4/28/427439/Hamilton-County-Has-No-More-Coronavirus.aspx,https://my.silobreaker.com/5_2275788985223610557
5_2275779303008370688,16_2275778428261105664,"Hamilton County Has No More Coronavirus Deaths, 30 New Cases",News,en,2021-04-24T19:31:47Z,2021-04-24T19:31:47Z,2021-04-25T03:55:03Z,2021-04-24T19:31:47Z,Chattanoogan,2,http://www.chattanoogan.com/2021/4/24/427216/Hamilton-County-Has-No-More-Coronavirus.aspx,https://my.silobreaker.com/5_2275779303008370688
5_2275597082360283136,16_2275595892083916859,32 more local residents die of COVID-19 as new cases spike across Florida,News,en,2021-02-05T23:53:34Z,2021-02-05T23:53:34Z,2021-02-06T00:19:16Z,2021-02-05T23:53:34Z,Villages News - RSS,1,https://www.villages-news.com/2021/02/05/32-more-local-residents-die-of-covid-19-as-new-cases-spike-across-florida/?utm_source=rss&utm_medium=rss&utm_campaign=32-more-local-residents-die-of-covid-19-as-new-cases-spike-across-florida,https://my.silobreaker.com/5_2275597082360283136
5_2275227644691742728,16_2275227565352288262,3 more local COVID-19 deaths as Florida shows significant spike in new cases,News,en,2020-12-29T23:51:57Z,2020-12-29T23:51:57Z,2020-12-30T00:18:52Z,2020-12-29T23:51:57Z,Villages News - RSS,1,https://www.villages-news.com/2020/12/29/3-more-local-covid-19-deaths-as-florida-shows-significant-spike-in-new-cases/?utm_source=rss&utm_medium=rss&utm_campaign=3-more-local-covid-19-deaths-as-florida-shows-significant-spike-in-new-cases,https://my.silobreaker.com/5_2275227644691742728
5_2275801507318202368,16_2275800770613870607,"COVID-19 continues to slam Florida with 3,800 new cases and 31 more deaths",News,en,2021-05-02T22:39:07Z,2021-05-02T22:39:07Z,2021-05-02T22:47:23Z,2021-05-02T22:39:07Z,Villages News - RSS,4,https://www.villages-news.com/2021/05/02/covid-19-continues-to-slam-florida-with-3800-new-cases-and-31-more-deaths/,https://my.silobreaker.com/5_2275801507318202368
5_2275759540001570981,16_2275759540001570875,Clay County COVID Death,News,en,2021-04-15T19:58:00Z,2021-04-15T19:58:00Z,2021-04-15T20:17:34Z,2021-04-15T19:58:00Z,X Radio 97.9 XFM,1,http://www.thexradio.com/news/78-local-news/49635-clay-county-covid-death,https://my.silobreaker.com/5_2275759540001570981
5_2275520115640369152,16_2275519715470213131,18 more local COVID-19 deaths as massive spike in new cases hits Florida,News,en,2021-01-02T23:52:44Z,2021-01-02T23:52:44Z,2021-01-03T00:47:32Z,2021-01-02T23:52:44Z,Villages News - RSS,1,https://www.villages-news.com/2021/01/02/18-more-local-covid-19-deaths-as-massive-spike-in-new-cases-hits-florida/?utm_source=rss&utm_medium=rss&utm_campaign=18-more-local-covid-19-deaths-as-massive-spike-in-new-cases-hits-florida,https://my.silobreaker.com/5_2275520115640369152
5_2275663050558144512,16_2275661415031243087,13 more local COVID-19 deaths as Florida sees jump in new cases,News,en,2021-03-03T23:51:13Z,2021-03-03T23:51:13Z,2021-03-04T00:20:18Z,2021-03-03T23:51:13Z,Villages News - RSS,1,https://www.villages-news.com/2021/03/03/13-more-local-covid-19-deaths-as-florida-sees-jump-in-new-cases/,https://my.silobreaker.com/5_2275663050558144512
5_2275752232114716788,16_2275751599580119040,222 Confirmed Cases of COVID in Monroe County Since Saturday,News,en,2021-04-12T09:36:00Z,2021-04-12T09:36:00Z,2021-04-12T09:38:26Z,2021-04-12T09:36:00Z,1180 WHAM,2,https://wham1180.iheart.com/content/2021-04-12-222-confirmed-cases-of-covid-in-monroe-county-since-saturday/,https://my.silobreaker.com/5_2275752232114716788
5_2275814713956761600,16_2275812505538265100,5 more local COVID-19 deaths as new cases continue to pop up across Florida,News,en,2021-05-08T22:50:48Z,2021-05-08T22:50:48Z,2021-05-08T23:18:38Z,2021-05-08T22:50:48Z,Villages News - RSS,1,https://www.villages-news.com/2021/05/08/5-more-local-covid-19-deaths-as-new-cases-continue-to-pop-up-across-florida/,https://my.silobreaker.com/5_2275814713956761600
